"source";"target";"Weight"
5;1459;3
5;15126;3
5;80927;3
6;1422;4
6;1459;4
6;7249;4
6;12471;4
6;14775;5
6;19590;5
6;29666;5
6;30278;4
6;32766;5
6;34278;5
6;79200;4
6;105052;4
6;153969;5
6;206103;4
6;231213;5
8;10;9
8;577;4
8;852;11
8;1007;4
8;1825;4
8;2875;7
8;2876;4
8;4633;9
8;12972;4
8;14017;4
8;31942;4
8;33752;5
8;53461;11
8;61593;4
8;122231;6
9;8;3
9;471;3
9;1054;3
9;3224;3
9;6809;3
9;10044;3
9;12024;3
9;12171;3
9;15760;3
9;20191;3
9;22901;3
9;23622;3
9;24029;3
9;34278;3
9;192867;4
10;237;4
10;852;6
10;1007;4
10;4489;3
10;4788;3
10;6693;3
10;10480;11
10;10789;4
10;15126;5
10;15570;6
10;21625;4
10;36492;4
10;51824;4
10;53461;4
11;357;5
11;547;4
11;611;3
12;104749;3
12;108000;3
17;14;4
17;114;4
17;320;4
17;1164;3
17;1831;5
17;3108;4
17;3554;4
17;4168;3
17;4506;3
17;4768;3
17;6191;4
17;11612;3
17;39182;3
17;67548;3
21;994;3
24;25;9
24;925;3
25;1257;3
25;1301;3
25;1775;4
25;3220;3
25;5969;3
25;5991;4
26;2132;5
30;48;4
30;118;3
30;424;3
30;1145;3
30;3390;3
37;247;7
37;308;3
37;398;3
37;425;4
37;847;3
37;1375;3
38;262;3
38;309;3
38;372;5
38;374;4
38;375;4
38;472;3
46;1414;5
46;5966;3
46;7502;3
46;7694;3
47;1742;3
48;661;3
48;2883;3
48;4244;4
49;741;3
51;619;3
52;602;3
52;1305;3
52;2630;3
52;4504;5
52;6462;3
52;11572;3
52;13696;3
52;14838;4
52;14840;3
52;18935;3
62;2322;3
62;4168;3
66;5966;3
68;2190;3
68;11732;3
68;11850;3
69;11850;3
69;14588;4
69;15227;3
72;73;16
72;74;5
72;583;20
72;2040;5
72;2238;8
72;2897;3
72;2917;3
72;8137;5
72;8140;3
72;10636;4
73;74;3
73;517;3
73;583;15
73;2040;4
73;2238;4
73;2917;3
73;10636;3
85;138;4
85;522;3
85;588;3
90;113;3
90;635;3
92;155;3
92;403;3
92;512;3
92;629;4
92;630;3
92;635;3
92;939;3
92;947;3
92;2083;3
92;13192;3
92;18399;3
92;20204;3
92;54849;4
95;96;3
95;771;4
95;3891;3
95;19034;8
95;39158;3
95;46272;4
95;72284;3
96;19034;3
100;8404;3
100;26247;3
101;630;3
101;946;3
101;2029;4
101;2590;4
101;14436;5
104;114;3
105;974;6
105;1377;4
105;10030;3
105;26247;4
107;15281;3
110;6556;3
110;8758;3
110;12171;3
110;12839;3
110;14613;3
110;15126;4
110;15495;3
110;21130;3
110;32799;3
110;32976;3
110;33229;3
110;52960;3
110;60344;3
110;69401;3
110;108182;3
111;823;5
111;1633;3
111;40239;4
111;114547;3
112;599;3
112;2035;3
112;3090;3
112;3439;4
113;114;3
113;271;10
113;635;8
113;1084;4
113;4594;3
113;26247;4
114;155;3
114;189;7
114;630;4
114;1145;4
114;1377;4
114;1831;3
114;1920;5
114;2889;4
114;4168;6
114;6191;3
114;7656;3
