"Id";"country";"actor_name";"edad";"year_nacimiento";"pelis";"series";"genero_def";"edad_inicio_carrera";"genero_cine_main";"porc_genero_cine_main";"type_race";"prob_race";"age_by_picture";"year_nacimiento_from_1875";"author_graph";"profesion_main";"total_trabajos";"porc_profesion_main"
"101407";"United States of America";"Tyler Perry";51;1969;19;4;"M";38;"Comedia";38;"black";100;33;94;"";;;
"12302";"United States of America";"Brad Pitt";57;1963;89;7;"M";25;"Drama";48;"white";40;30;88;"Brad Pitt";;;
"3175";"United States of America";"Jack Elam";;1918;52;1;"M";;"Western";54;"black";62;41;43;"";;;
"21358";"United States of America";"Gwyneth Paltrow";48;1972;47;5;"F";21;"Drama";39;"white";100;33;97;"";;;
"17669";"Spain";"Karra Elejalde";60;1960;51;2;"M";31;"Drama";40;"middle eastern";77;38;85;"";;;
"34259";"United States of America";"Greg Grunberg";54;1966;32;30;"M";27;"Comedia";41;"white";81;32;91;"";;;
"14621";"United Kingdom";"Robbie Coltrane";71;1950;43;0;"M";37;"Aventura";34;"latino hispanic";29;43;75;"";;;
"4204";"United States of America";"John Goodman";68;1952;90;15;"M";32;"Comedia";40;"white";95;44;77;"John Goodman";;;
"472";"United States of America";"Harrison Ford";78;1942;63;0;"M";25;"Drama";34;"white";97;44;67;"";;;
"5480";;"Giancarlo Esposito";62;1958;50;30;"M";22;"Drama";47;"black";74;42;83;"";;;
"81795";"United States of America";"Chris Evans";39;1981;36;3;"M";20;"Accion";38;"white";89;27;106;"";;;
"1794";"United Kingdom";"Derek Jacobi";82;1938;49;8;"M";31;"Drama";46;"white";98;33;63;"";;;
"61881";"United States of America";"Sean Gunn";46;1974;10;8;"M";26;"Accion";45;"white";96;28;99;"";;;
"60740";;"Denis O'Hare";59;1962;40;16;"M";33;"Drama";47;"white";86;31;87;"";;;
"925";"United States of America";"Cary Grant";;1904;38;0;"M";;"Comedia";37;"latino hispanic";44;29;29;"";;;
"32994";;"Kim Coates";63;1958;38;13;"M";31;"Accion";44;"white";59;35;83;"";;;
"18066";;"Natalie Portman";39;1981;49;4;"F";15;"Drama";52;"white";100;29;106;"";;;
"95676";"United States of America";"Bradley Cooper";46;1975;53;8;"M";26;"Comedia";36;"white";98;25;100;"";;;
"175724";;"CCH Pounder";68;1952;27;23;"F";29;"Cienciaficcion";30;"black";76;33;77;"";;;
"6146";"United States of America";"Sean Penn";60;1960;57;5;"M";22;"Drama";57;"white";100;40;85;"";;;
"48328";"United States of America";"John Ortiz";52;1968;37;10;"M";25;"Drama";40;"latino hispanic";30;29;93;"";;;
"8739";"United States of America";"Parker Posey";52;1968;52;14;"F";26;"Comedia";41;"white";100;31;93;"";;;
"16904";"Spain";"Juanjo Puigcorbe";65;1955;48;4;"M";24;"Comedia";57;"white";43;27;80;"";;;
"103370";"United States of America";"Joe Chrest";;;49;14;"M";;"Drama";35;"white";55;36;;"";;;
"5568";"Ireland";"Liam Neeson";68;1952;96;6;"M";30;"Drama";35;"white";89;25;77;"Liam Neeson";;;
"536";"United States of America";"Nicolas Cage";57;1964;99;0;"M";19;"Suspense";31;"middle eastern";39;32;89;"Nicolas Cage";;;
"1731";"United Kingdom";"Rupert Everett";61;1959;40;5;"M";27;"Drama";35;"middle eastern";60;30;84;"";;;
"2334";"United States of America";"Ron Perlman";70;1950;81;15;"M";33;"Accion";29;"white";73;48;75;"Ron Perlman";;;
"248314";"United States of America";"Candice Patton";32;1988;2;17;"F";22;"Suspense";40;"black";63;23;113;"";;;
"14451";"United States of America";"Ice Cube";51;1969;46;2;"M";23;"Comedia";43;"black";99;33;94;"";;;
"13152";"United States of America";"Robert Picardo";67;1953;26;43;"M";30;"Comedia";39;"white";35;34;78;"";;;
"9122";"United States of America";"James Gammon";;1940;39;6;"M";;"Drama";38;"asian";33;35;65;"";;;
"174296";"Spain";"Luis Callejo";50;1970;34;6;"M";35;"Drama";42;"white";95;32;95;"";;;
"3846";"United States of America";"Bill Paxton";;1955;55;6;"M";;"Accion";32;"white";87;42;80;"";;;
"1146";"United States of America";"Clint Eastwood";90;1930;78;0;"M";26;"Drama";40;"white";83;44;55;"";;;
"8930";"United States of America";"Emilio Estevez";58;1962;27;6;"M";22;"Drama";35;"white";54;41;87;"";;;
"34278";"United States of America";"Jack Nicholson";83;1937;57;0;"M";31;"Drama";46;"asian";37;45;62;"";;;
"1722";"United States of America";"Tom Cruise";58;1962;62;0;"M";20;"Drama";36;"white";100;23;87;"";;;
"6462";"United States of America";"Seth Green";47;1974;38;29;"M";14;"Comedia";58;"white";100;29;99;"";;;
"303";"United States of America";"Hector Elizondo";84;1936;40;11;"M";36;"Comedia";40;"white";67;37;61;"";;;
"12630";"United States of America";"Morgan Freeman";83;1937;89;2;"M";28;"Drama";36;"black";99;51;62;"Morgan Freeman";;;
"43981";"United Kingdom";"Simon Pegg";51;1970;47;8;"M";31;"Comedia";34;"white";97;42;95;"";;;
"3073";"United States of America";"Harry Carey Jr.";;1921;66;1;"M";;"Western";54;"white";89;29;46;"";;;
"87400";"United States of America";"Jesse Plemons";33;1988;26;14;"M";15;"Drama";44;"asian";96;27;113;"";;;
"118";"United States of America";"Paul Newman";;1925;63;1;"M";;"Drama";51;"white";98;35;50;"";;;
"8258";"Australia";"Joel Edgerton";46;1974;44;1;"M";23;"Drama";41;"white";100;33;99;"";;;
"6796";"Spain";"Eusebio Poncela";;;33;6;"M";;"Drama";44;"white";98;28;;"";;;
"750";"Japan";"Nagisa Oshima";;1932;25;0;"M";;"Drama";64;"asian";45;49;57;"";;;
"2066";"France";"Philippe Garrel";73;1948;13;0;"M";16;"Drama";64;"white";39;30;73;"";;;
"93689";"United States of America";"Mike Epps";50;1970;42;6;"M";28;"Comedia";49;"black";100;34;95;"";;;
"18156";"Spain";"Najwa Nimri";49;1972;26;3;"F";25;"Drama";61;"white";92;36;97;"";;;
"146296";"United States of America";"Jenny Gabrielle";;;12;1;"F";;"Drama";43;"white";100;32;;"";;;
"99507";"Canada";"Patrick Gallagher";53;1968;13;23;"M";30;"Comedia";29;"asian";70;26;93;"";;;
"137801";"Canada";"Joris Jarsky";46;1974;11;11;"M";26;"Drama";36;"white";100;36;99;"";;;
"48110";"United States of America";"Chris Parnell";54;1967;24;25;"M";36;"Comedia";73;"white";100;32;92;"";;;
